0,What category of tire is the Destination A/T2?,Light Truck,Touring,Performance,Winter
0,The Destination A/T2 is designed for which vehicles?,Light trucks and SUVs,Light trucks and CUVs,SUVs and CUVs,Cars and CUVs
0,The Destination A/T2 is which type of tire?,All Season,Summer,Winter,Highway
1,True or False: The Destination A/T2 is an all-season Light Truck tire.,TRUE,FALSE,,
1,True or False: The Destination A/T2 is pinned for studs.,FALSE,TRUE,
1,True or False: The TractionTech Package enhances grip in both mud and snow.,TRUE,FALSE,,
0,Which technology enhances grip in mud and snow?,Full Depth Sipes and Shoulder Slots,Full Depth Grooves,Stone Rejectors,Rounded Footprint 
0,Which technology helps reduce stone drilling and related damage?,Stone Rejectors,Rounded Footprint,Full Depth Sipes and Shoulder Slots,Full Depth Grooves
0,Which technology ensures a quiet ride?,New Tread Design and Rubber Compound,Full Depth Grooves,Full Depth 3D Sipes,Shoulder Slots
0,Which technology creates biting edges for snow and ice traction?,Full Depth 3D Sipes,Rounded Footprint,Full Depth Grooves,Stone Rejectors
0,Which of these is NOT a feature of the Destination A/T2?,Complete range of blackwall-only sizes,"55,000-mile/90,000 km limited treadwear warranty","On-road handling, off-road toughness","All Season performance"
1,True or False: The Destination A/T2 is an all-terrain Light Truck tire.,TRUE,FALSE,,
1,True or False: The Destination A/T2 is an all-season Light Truck tire.,TRUE,FALSE,,
1,True or False: The Destination A/T2 is a commercial-grade tire.,FALSE,TRUE,,
1,"True or False: The Destination A/T2 is backed by Firestone’s Gold Pledge Warranty and 90 Day Buy & Try Guarantee.",TRUE,FALSE,,
1,True or False: The Destination A/T2 offers six V-rated sizes.,FALSE,TRUE,,
1,"True or False: The Destination A/T2 earned the 3 Peak Mountain Snowflake certification.",FALSE,TRUE,,
1,"True or False: The Destination A/T2 has a 55,000-mile/90,000 km limited treadwear warranty.",TRUE,FALSE,,
1,True or False: The Destination A/T2 is a Light Truck tire.,TRUE,FALSE,,
1,"True or False: The Destination A/T2 has a 40,000-mile/65,000 km limited treadwear warranty.",FALSE,TRUE,,
