0,What category of tire is the Firehawk Indy 500?,Ultra-High Performance,High Performance,Touring,Standard Passenger
0,The Firehawk Indy 500 is intended for which vehicles?,Sports cars,Passenger cars,CUVs,SUVs
0,The Firehawk Indy 500 is which type of tire?,Summer,All-season,Winter,All-terrain
1,"True or False: The Firehawk Indy 500 is Firestone’s flagship Ultra-High Performance tire.",TRUE,FALSE,,
1,True or False: The Firehawk Indy 500 is a summer tire.,TRUE,FALSE,,
1,True or False: The Firehawk Indy 500 is an all-season tire.,FALSE,TRUE,,
1,True or False:  Pulse Groove Technology provides improved hydroplaning resistance.,TRUE,FALSE,,
0,Which technology in the Firehawk Indy 500 provides improved resistance to hydroplaning?,Pulse Groove Technology,Continuous Center Rib Elements,High-Grip Tread Compound,Wide Shoulder Blocks
0,Which feature in the Firehawk Indy 500 delivers dynamic cornering?,Wide Shoulder Blocks,Pulse Groove Technology,Continuous Center Rib Elements,High-Grip Tread Compound
0,Which feature in the Firehawk Indy 500 provides traction for stopping on wet roads?,High-Grip Tread Compound,Pulse Groove Technology,Continuous Center Rib Elements,Wide Shoulder Blocks
0,Which feature in the Firehawk Indy 500 provides confident response and strong braking?,Continuous Center Rib Elements,Pulse Groove Technology,High-Grip Tread Compound,Wide Shoulder Blocks
1,True or False: The Firehawk Indy 500 is a summer Ultra-High Performance tire.,TRUE,FALSE,,
1,True or False: The Firehawk Indy 500 is designed for performance sedans and sports  cars.,TRUE,FALSE,,
1,True or False: The Firehawk Indy 500 is designed for performance sedans and CUVs.,FALSE,TRUE,,
1,True or False: The available sizes of the Firehawk Indy 500 cover about 50 percent of the car and minivan market.,FALSE,TRUE,,
1,"True or False: The Firehawk Indy 500 provides precise handling, traction, and control in both dry and wet conditions.",TRUE,FALSE,,
1,"True or False: The Firehawk Indy 500 provides precise handling, traction, and control in wet and snowy conditions.",FALSE,TRUE,,
1,"True or False: The Firehawk Indy 500 is backed by Firestone’s 90 Day Buy & Try Guarantee.",TRUE,FALSE,,
1,"True or False: The Firehawk Indy 500 has a 70,000-mile/110,000 km limited treadwear warranty.",FALSE,TRUE,,
1,"True or False: The Firehawk Indy 500 delivers dependable performance in wet, dry, and snowy conditions.",FALSE,TRUE,,
