0,What category of tire is the Destination M/T2?,Max Traction,Touring,Performance,Winter
0,The Destination M/T2 is designed for which vehicles?,Light trucks and SUVs,Light trucks and CUVs,SUVs and CUVs,Cars and CUVs
0,The Destination M/T2 is which type of tire?,All-season,Summer,Winter,Fall
1,True or False: The Destination M/T2 is an all-season Max Traction tire.,TRUE,FALSE,,
1,True or False: The Destination M/T2 is made for off-roading.,TRUE,FALSE,,
0,The Destination M/T2 has what percentage more biting edges in the tread than the original M/T? ,20%,5%,15%,43%
0,Which feature clears debris from the tread to maximize usable life?,Mud and Stone Rejectors,More Durable Construction ,20% More Biting Edges (than the Destination M/T),Updated Size Range
0,Which feature provides resistance to on- and off-highway damage?,More Durable Construction ,Mud and Stone Rejectors,20% More Biting Edges (than the Destination M/T),Updated Size Range
1,True or False: The Destination M/T2 features 3 ply sidewall construction. ,TRUE,FALSE,,
0,Which feature improves traction in winter driving conditions?,20% More Biting Edges (than the Destination M/T),More Durable Construction ,Mud and Stone Rejectors,Updated Size Range
0,Which of these is NOT a feature of the Destination M/T2?,Monoply casing,Available in 29 sizes,Made for off-roading,All-season performance
1,True or False: The Destination M/T2 comes in 29 sizes.,TRUE,FALSE,,
1,True or False: The Destination M/T2 is an all-terrain tire.,TRUE,FALSE,,
1,True or False: The Destination M/T2 is an all-season Light Truck tire.,TRUE,FALSE,,
1,"True or False: The Destination M/T2 offers over 20 sizes in ""E"" load range. ",TRUE,FALSE,,
1,"True or False: The Destination M/T2 is backed by Firestone’s Gold Pledge Limited Warranty and Buy & Try 30 Day Guarantee.",TRUE,FALSE,,
1,True or False: The Destination M/T2 is engineered for pick-up trucks and SUVs.,TRUE,FALSE,,
1,True or False: The size range for the Destination M/T2 includes three 37-inch overall diameter Flotation sizes.,TRUE,FALSE,,
1,"True or False: The Destination M/T2 has a 40,000-mile/65,000 km limited treadwear warranty.",FALSE,TRUE,,
1,True or False: The Destination M/T2 is a summer Max Traction tire.,FALSE,TRUE,,
