0,What category of tire is the Transforce A/T2?,Commercial Light Truck,Light Truck,Touring,Performance
0,The Transforce A/T2 is designed for which vehicles?,Heavy-duty trucks and commercial vehicles,Light trucks and SUVs,Light trucks and CUVs,SUVs and CUVs
1,True or False: The Transforce A/T2 is pinned for #14 studs. ,FALSE,TRUE,,
1,True or False: The Transforce A/T2 is an all-season tire.,TRUE,FALSE,,
1,True or False: The Transforce A/T2 is an all-terrain Commercial Light Truck tire.,TRUE,FALSE,,
0,Which technology optimizes the Transforce A/T2 for on- and off-road performance?,All-Terrain Tread Pattern,Chip- and Tear-Resistant Tread Compound,Innovative Tread-To-Road Contact Footprint ,New Tread Rubber and Full Depth Features
0,Which technology helps retain performance longer over the service life of the tire?,Innovative Tread-To-Road Contact Footprint ,Chip- and Tear-Resistant Tread Compound,O-Bead Technology ,All-Terrain Tread Pattern
0,Which technology provides enhanced snow traction?,New Tread Rubber and Full Depth Features,Innovative Tread-To-Road Contact Footprint ,Chip- and Tear-Resistant Tread Compound,All-Terrain Tread Pattern
0,Which technology resists damage from off-road driving?,Chip- and Tear-Resistant Tread Compound,Innovative Tread-To-Road Contact Footprint ,New Tread Rubber and Full Depth Features,All-Terrain Tread Pattern
0,Which technology makes the Transforce A/T2 tough enough to deal with rough road conditions like gravel?,Chip- and Tear-Resistant Tread Compound,Innovative Tread-To-Road Contact Footprint ,All Steel Casing Plies ,All-Terrain Tread Pattern
0,Which of these is NOT a feature of the Transforce A/T2?,Single Ply Casing,Strong for on-road and off-road,Tough enough to deal with harsh conditions,All-terrain performance
1,True or False: The Transforce A/T2 is a Max Traction tire.,FALSE,TRUE,,
1,True or False: The Transforce A/T2 is an all-season Commercial Light Truck tire.,TRUE,FALSE,,
1,"True or False: The Transforce A/T2 is a commercial-grade, heavy-duty highway tire.",FALSE,TRUE,,
1,True or False: The Transforce A/T2 is an all-terrain tire.,TRUE,FALSE,,
1,True or False: The Transforce A/T2 is engineered for light duty pick-up trucks and SUVs.,FALSE,TRUE,,
1,"True or False: The Transforce A/T2 is backed by Firestone’s 90 Day Buy & Try Guarantee.",TRUE,FALSE,,
1,"True or False: The Transforce A/T2 has a 50,000-mile/80,000 km limited treadwear warranty.",FALSE,TRUE,,
1,True or False: The Transforce A/T2 is an all-terrain tire.,TRUE,FALSE,,
1,True or False: The Transforce A/T2 is designed for heavy-duty trucks and commercial vehicles.,TRUE,FALSE,,
