0,What category of tire is the Potenza S007A RFT?,Ultra-High Performance,High Performance,Touring,Passenger
0,The Potenza S007A RFT is intended for which group of vehicles?,Sports coupes and sedans,SUVs,Passenger cars,CUVs
0,The Potenza S007A RFT is which type of tire?,Summer,All Season,Winter,All Terrain
1,True or False: The Potenza S007A RFT is an all-season Ultra-High Performance tire.,FALSE,TRUE,,
1,True or False: The Potenza S007A RFT is a summer Ultra-High Performance run-flat tire.,TRUE,FALSE,,
1,"True or False: The Potenza S007A RFT offers sizes for late-model Audis, Cadillacs, Camaros, and Corvettes that came factory equipped with UHP run-flat tires.",TRUE,FALSE,,
0,Which technology provides extra control and stability during high-performance driving?,Low Angle 3D Interlocking Sipes with Wide Ribs,Kevlar Reinforced Bead Area,Chamfered Block Edges,Optimized Crown Shape
0,Which technology provides a flatter contact area for better stopping power on wet or dry roads?,Chamfered Block Edges,Low Angle 3D Interlocking Sipes with Wide Ribs,Kevlar Reinforced Bead Area,Optimized Crown Shape  
0,Which technology improves wear life?,Optimized Crown Shape,Low Angle 3D Interlocking Sipes with Wide Ribs,Kevlar Reinforced Bead Area,Chamfered Block Edges
0,Which technology provides quicker response and greater steering accuracy during high-speed maneuvers?,Kevlar Reinforced Bead Area,Optimized Crown Shape,Low Angle 3D Interlocking Sipes with Wide Ribs,Chamfered Block Edges
1,True or False: The Potenza S007A RFT has the latest run-flat support structure and cooling fins technologies.,TRUE,FALSE,,
0,Which of these is NOT a feature of the Potenza S007A RFT?,"Up to 80,000-mile/130,000 km limited treadwear warranty",Run-flat technology,Kevlar Reinforced Bead Area,Ultra-high performance handling
1,True or False: Chamfered Block Edges prevent pattern noise.,FALSE,TRUE,,
1,True or False: The Potenza S007A RFT comes in five run-flat sizes.,FALSE,TRUE,,
1,"True or False: The Potenza S007A RFT is backed by Bridgestone’s Platinum Pact Limited Warranty and 90 Day Buy & Try Guarantee.",TRUE,FALSE,,
1,"True or False: The Potenza S007A RFT provides 50 miles/80 kilometers of mobility at speeds up to 50 mph/80 km/h after a pressure loss.",TRUE,FALSE,,
1,"True or False: The Potenza S007A RFT has up to an 80,000-mile/130,000 km limited treadwear warranty.",FALSE,TRUE,,
1,"True or False: The bead area of the Potenza S007A RFT is reinforced with a layer of high-stiffness Kevlar fabric.",TRUE,FALSE,,
1,"True or False: The sidewall of the Potenza S007A RFT adds strength to the casing and provides flexibility and resistance to weathering.",TRUE,FALSE,,
1,"True or False: The sidewall inserts of the Potenza S007A RFT deliver support for the tread for stability, impact resistance, and wear life.",FALSE,TRUE,,
