0,What category of tire is the Dueler H/L Alenza Plus?,Light Truck,Max Traction,Performance,Passenger
0,The Dueler H/L Alenza Plus is designed for which vehicles?,"Light trucks, SUVs, and CUVs","Commercial trucks, SUVs, and CUVs","Passenger cars, SUVs, and CUVs",Light trucks and Commercial trucks
0,The Dueler H/L Alenza Plus is which type of tire?,All-season,Summer,Winter,All-terrain
1,True or False: The Dueler H/L Alenza Plus is an all-season tire.,TRUE,FALSE,,
1,"True or False: The Dueler H/L Alenza Plus received Bridgestone’s Eco-Products designation.",TRUE,FALSE,,
0,"What is the limited treadwear warranty on the Dueler H/L Alenza Plus for H, T, and V speed-rated tires?","80,000 miles/130,000 kms","55,000 miles/90,000 kms","60,000 miles/100,000 kms","70,000 miles/110,000 kms"
0,What is the limited treadwear warranty on the Dueler H/L Alenza Plus for W speed-rated tires?,"55,000 miles/90,000 kms","60,000 miles/100,000 kms","70,000 miles/110,000 kms","80,000 miles/130,000 kms"
0,Which feature improves handling and provides longer treadwear?,Wide Center Rib,3D Sipes,Variable Block Wall Angle,Ever-Black Sidewall Technology
0,"Which feature enhances the vehicle’s appearance?",Ever-Black Sidewall Technology,3D Sipes,Wide Center Rib,Variable Block Wall Angle
0,Which feature improves performance in wet and snowy conditions?,3D Sipes,Wide Center Rib,Variable Block Wall Angle,Ever-Black Sidewall Technology
0,Which feature enhances comfort and reduces noise?,Variable Block Wall Angle,3D Sipes,Wide Center Rib,Ever-Black Sidewall Technology
0,Which of these is NOT a feature of the Dueler H/L Alenza Plus?,Decreased fuel efficiency,"Up to 80,000-mile/130,000 km limited treadwear warranty",All-season performance,"Quiet, comfortable ride"
1,True or False: The technology in the Ever-Black Sidewalls was also used to improve the durability of heat shields on the Space Shuttle.,FALSE,TRUE,,
1,True or False: The Dueler H/L Alenza Plus uses the same oils found in air fresheners to improve wet traction.  ,FALSE,TRUE,,
1,True or False: The Dueler H/L Alenza Plus offers reduced rolling resistance for fuel savings and improved treadwear.,TRUE,FALSE,,
1,"True or False: The Dueler H/L Alenza Plus has a 60,000-mile/100,000 km limited treadwear warranty.",FALSE,TRUE,,
1,True or False: The Dueler H/L Alenza Plus is engineered for good fuel economy.,TRUE,FALSE,,
1,"True or False: The Dueler H/L Alenza Plus is backed by Bridgestone’s Platinum Pact Limited Warranty and 90 Day Buy & Try Guarantee.",TRUE,FALSE,,
1,"True or False: The Dueler H/L Alenza Plus has a 55,000-mile/90,000 km limited treadwear warranty for W speed-rated sizes.",TRUE,FALSE,,
1,True or False: The Dueler H/L Alenza Plus is an all-season Performance tire.,FALSE,TRUE,,
