0,The Winterforce 2 is which type of tire?,Winter,Summer,All-season,Performance
0,The Winterforce 2 is designed for which vehicles?,Cars and minivans,Light trucks and SUVs,Commercial vehicles and SUVs,Light trucks and commercial vehicles
1,True or False: The Winterforce 2 is pinned for studs.,TRUE,FALSE,,
1,True or False: The Winterforce 2 is pinned for #11 studs.,TRUE,FALSE,,
1,True or False: The Winterforce 2 is pinned for #15 studs.,FALSE,TRUE,,
1,True or False: The Winterforce 2 is engineered for light truck use.,FALSE,TRUE,,
1,Is the Winterforce 2 pinned for #11 or #15 studs?,11,15,,
0,Which feature enhances traction on icy surfaces?,Studs,Full Depth Tread Features,Directional Tread Pattern w/Special Cold Weather Compound,Sweeping Grooves
0,Which feature provides better grip in wintry conditions than an all-season tire?,Directional Tread Pattern w/Special Cold Weather Compound,Longitudinal Grooves ,Full Depth Tread Features,Sweeping Grooves
0,Which feature provides long-lasting performance winter after winter?,Full Depth Tread Features,Studs ,Directional Tread Pattern w/Special Cold Weather Compound,Sweeping Grooves
1,True or False: The Winterforce 2 is certified with the 3-Peak Mountain Snowflake designation.,TRUE,FALSE,,
1,"True or False: The Winterforce 2 is backed by Firestone’s Gold Pledge Limited Warranty.",TRUE,FALSE,,
1,True or False: The Winterforce 2 is a studless Winter tire.,FALSE,TRUE,,
1,True or False: The Winterforce 2 is an all-season tire.,FALSE,TRUE,,
1,True or False: The Winterforce 2 is designed for commercial vehicles.,FALSE,TRUE,,
1,True or False: The Winterforce 2 is engineered for cars and minivans.,TRUE,FALSE,,
0,Which of these is NOT a feature of the Winterforce 2?,"90 Day Buy & Try Guarantee",Pinned for studs,Great value,Long-lasting performance 
1,True or False: Studs enhance traction on icy surfaces.,TRUE,FALSE,,
1,True or False: The Winterforce 2 is a Firestone Winter tire.,TRUE,FALSE,,
0,The Winterforce 2 is available in which speed rating?,S,T,R,Q
