0,"What type of tire is the Potenza RE980AS?",All-season,Summer,Winter,All-Terrain
1,"True or False: The Potenza RE980AS is an all-season, Ultra-High Performance tire.",TRUE,FALSE,,
1,"True or False: The Potenza RE980AS comes with Bridgestone’s 90 Day Buy & Try Guarantee.",TRUE,FALSE,,
1,"True or False: The Potenza RE980AS comes with a 50,000-mile/80,000 km limited treadwear warranty.",TRUE,FALSE,,
1,"True or False: The Potenza RE980AS comes with a 45,000-mile/75,000 km limited treadwear warranty.",FALSE,TRUE,,
0,"Which one of the following best describes the Potenza RE980AS?","All-season, Ultra-High Performance tire","All-season, Touring tire","Summer, Ultra-High Performance tire","Summer, High Performance tire"
1,True or False: The Potenza RE980AS is made for economy cars and sports cars.,FALSE,TRUE,,
1,True or False: The Potenza RE980AS is made for sports cars.,TRUE,FALSE,,
1,True or False: The Potenza RE980AS is made for CUVs.,FALSE,TRUE,,
0,Which technology in the Potenza RE980AS increases snow performance?,Snow Ridge Walls,20% More See-Through Void ,Chamfered Slots,Non Directional Tread Pattern
0,Which technology in the Potenza RE980AS improves braking grip?,Chamfered Slots,20% More See-Through Void ,Non Directional Tread Pattern,Snow Ridge Walls
0,Which technology in the Potenza RE980AS provides resistance to hydroplaning?,20% More See-Through Void ,Chamfered Slots,3D Full-Depth Sipes,Snow Ridge Walls
0,Which technology in the Potenza RE980AS enhances traction throughout the life of the tire?,3D Full-Depth Sipes ,Chamfered Slots,Non Directional Tread Pattern,Snow Ridge Walls
0,Which technology in the Potenza RE980AS provides resistance to hydroplaning?,Open Shoulder Slots ,Chamfered Slots,3D Full-Depth Sipes,Snow Ridge Walls
0,Which technology in the Potenza RE980AS improves wet and dry braking?,Chamfered Slots,20% More See-Through Void ,Non Directional Tread Pattern,Snow Ridge Walls
0,What is the limited treadwear warranty on the Potenza RE980AS?,"50,000 miles/80,000 kms","35,000 miles/55,000 kms","40,000 miles/65,000 kms","45,000 miles/70,000 kms"
1,True or False: The snow performance of the Potenza RE980AS improved by 50% compared to the tire it replaced.,TRUE,FALSE,,
1,True or False: The Potenza RE980AS has an asymmetric tread design.,TRUE,FALSE,,
1,True or False: The treadwear warranty on the Potenza RE980AS is 30% longer than the warranty on the tire it replaced.,FALSE,TRUE,,
1,True or False: The chamfered slots and see-through void on the Potenza RE980AS contribute to the 50% increase in snow traction.,FALSE,TRUE,,
