0,What category of tire is the Champion with Fuel Fighter Technology?,Touring,Ultra-High Performance,High Performance,Standard Passenger
0,The Champion with Fuel Fighter Technology is intended for which vehicles?,Passenger cars and minivans,Passenger cars and SUVs,Passenger cars and sports cars,Sports cars and CUVs
0,The Champion with Fuel Fighter Technology is which type of tire?,All-Season,Summer,Winter,All-Terrain
1,True or False: The Champion with Fuel Fighter Technology is an all-season Touring tire.,TRUE,FALSE,,
1,"True or False: The Champion with Fuel Fighter Technology is Bridgestone’s longest wearing Touring tire.",FALSE,TRUE,,
1,"True or False: The Champion with Fuel Fighter Technology is Firestone’s longest wearing Touring tire.",TRUE,FALSE,,
0,The limited treadwear warranty on the Champion with Fuel Fighter Technology is how many miles?,"70,000 miles/110,000 kms","50,000 miles/80,000 kms","60,000 miles/100,000 kms","80,000 miles/130,000 kms"
0,The Champion Fuel Fighter is available in which performance ratings?,"T, H, and V","S, H, and V",S and T,T and H
0,Which feature in the Champion with Fuel Fighter Technology contributes to longer wear life and solid wet traction?,New Tread Compound & Optimized Footprint,Fuel Fighter Technology,All-Season Tread Pattern,Halobutyl Inner Liner
0,"Which feature in the Champion with Fuel Fighter Technology delivers dependable performance in dry, wet, and winter conditions?",All-Season Tread Pattern,Fuel Fighter Technology,New Tread Compound & Optimized Footprint,Halobutyl Inner Liner
0,Which technology is NOT used in the Champion with Fuel Fighter Technology?,Dual Layer Tread ,Fuel Fighter Technology,New Tread Compound & Optimized Footprint,All-Season Tread Pattern
0,Which of these is NOT a feature of the Champion with Fuel Fighter Technology?,Comes in a narrow range of sizes,"70,000-mile/110,000 km limited treadwear warranty",All-season performance,Optimized for fuel efficiency
1,True or False: The Champion with Fuel Fighter Technology comes in 48 sizes in 14- to 18-inch rim diameters and 45- to 70-series aspect ratios.,TRUE,FALSE,,
1,True or False: The available sizes of the Champion with Fuel Fighter Technology cover over 80 percent of the car and minivan market.,TRUE,FALSE,,
1,True or False: The available sizes of the Champion with Fuel Fighter Technology cover about 50 percent of the car and minivan market.,FALSE,TRUE,,
1,True or False: The Champion with Fuel Fighter Technology is designed for drivers who are looking for good value in a brand-name tire.,TRUE,FALSE,,
1,"True or False: The Champion with Fuel Fighter Technology has six whitewall sizes.",FALSE,TRUE,,
1,"True or False: The Champion with Fuel Fighter Technology is backed by Firestone’s 90 Day Buy & Try Guarantee.",TRUE,FALSE,,
1,"True or False: The Champion with Fuel Fighter Technology has a 70,000-mile/110,000 km limited treadwear warranty.",TRUE,FALSE,,
1,"True or False: The Champion with Fuel Fighter Technology delivers dependable performance in wet, dry, and winter conditions.",TRUE,FALSE,,
